Week,TEAM_1,TEAM_2,,,,,,,,,,,,,,,,
7,TEN,@CLE,,,,,,,,,,,,,,,,
7,WSH,@PHI,,,,,,,,,,,,,,,,
8,ARI,BYE,,,,,,,,,,,,,,,,
8,ATL,@NYJ,,,,,,,,,,,,,,,,
8,BAL,MIA,,,,,,,,,,,,,,,,
8,BUF,OAK,,,,,,,,,,,,,,,,
8,CAR,@TB,,,,,,,,,,,,,,,,
8,CHI,@NO,,,,,,,,,,,,,,,,
8,CIN,IND,,,,,,,,,,,,,,,,
8,CLE,MIN,,,,,,,,,,,,,,,,
8,DAL,@WSH,,,,,,,,,,,,,,,,
8,DEN,@KC,,,,,,,,,,,,,,,,
8,DET,PIT,,,,,,,,,,,,,,,,
8,GB,BYE,,,,,,,,,,,,,,,,
8,HOU,@SEA,,,,,,,,,,,,,,,,
8,IND,@CIN,,,,,,,,,,,,,,,,
8,JAX,BYE,,,,,,,,,,,,,,,,
8,KC,DEN,,,,,,,,,,,,,,,,
8,LAR,BYE,,,,,,,,,,,,,,,,
8,LAC,@NE,,,,,,,,,,,,,,,,
8,MIA,@BAL,,,,,,,,,,,,,,,,
8,MIN,@CLE,,,,,,,,,,,,,,,,
8,NE,LAC,,,,,,,,,,,,,,,,
8,NO,CHI,,,,,,,,,,,,,,,,
8,NYG,BYE,,,,,,,,,,,,,,,,
8,NYJ,ATL,,,,,,,,,,,,,,,,
8,OAK,@BUF,,,,,,,,,,,,,,,,
8,PHI,SF,,,,,,,,,,,,,,,,
8,PIT,@DET,,,,,,,,,,,,,,,,
8,SF,@PHI,,,,,,,,,,,,,,,,
8,SEA,HOU,,,,,,,,,,,,,,,,
8,TB,CAR,,,,,,,,,,,,,,,,
8,TEN,BYE,,,,,,,,,,,,,,,,
8,WSH,DAL,,,,,,,,,,,,,,,,
9,ARI,@SF,,,,,,,,,,,,,,,,
9,ATL,@CAR,,,,,,,,,,,,,,,,
9,BAL,@TEN,,,,,,,,,,,,,,,,
9,BUF,@NYJ,,,,,,,,,,,,,,,,
9,CAR,ATL,,,,,,,,,,,,,,,,
9,CHI,BYE,,,,,,,,,,,,,,,,
